reward,actions,episodes,losses,q_values,epsilone
1.0,2,27,5.676741,0.8874699,0.1
-4.0,3,27,2.8121603,0.9824437,0.1
-4.0,0,27,2.6671429,0.9990375,0.1
-4.0,3,27,3.038412,0.97422683,0.1
1.0,2,27,2.6903267,0.99681,0.1
1.0,2,27,2.8209352,0.9859069,0.1
1.0,2,28,2.7473655,0.987627,0.1
1.0,2,28,3.4266005,0.9867353,0.1
1.0,2,28,8.245436,0.9834766,0.1
-4.0,3,28,2.7894373,0.99511325,0.1
-4.0,3,28,3.1766284,0.96824414,0.1
-4.0,3,28,2.6255426,0.9774418,0.1
-4.0,3,28,2.7788687,0.9750325,0.1
-4.0,3,28,2.694507,0.92721736,0.1
-4.0,3,28,3.0839982,0.946852,0.1
-4.0,3,28,3.4950843,0.969964,0.1
1.0,0,28,6.434513,0.96994233,0.1
-4.0,3,28,3.1441202,0.99926615,0.1
-4.0,4,28,3.421733,0.99041164,0.1
-4.0,3,28,3.7527623,0.99989235,0.1
-4.0,4,28,3.2726138,1.0,0.1
-4.0,3,28,5.719572,0.9999999,0.1
-4.0,3,28,2.889753,1.0,0.1
-4.0,3,28,2.9490137,1.0,0.1
-4.0,3,28,2.8685203,0.9998411,0.1
-4.0,3,28,2.7854965,1.0,0.1
-4.0,3,28,3.1553197,1.0,0.1
-4.0,3,28,2.8310966,1.0,0.1
-4.0,3,28,3.2328174,0.99991626,0.1
-4.0,3,28,2.1963906,0.99875766,0.1
-4.0,3,28,3.6559992,1.0,0.1
-4.0,3,28,2.7567716,1.0,0.1
-4.0,3,28,2.92003,1.0,0.1
-4.0,3,28,5.5944796,1.0,0.1
-4.0,3,28,3.142784,0.9999997,0.1
-4.0,3,28,2.8687735,1.0,0.1
-4.0,3,28,3.0368276,1.0,0.1
-4.0,3,28,2.3957984,1.0,0.1
-4.0,3,28,8.212904,1.0,0.1
-4.0,3,28,6.600649,0.9999999,0.1
-4.0,3,28,5.409252,1.0,0.1
-4.0,3,28,8.180736,1.0,0.1
-4.0,3,28,3.255113,1.0,0.1
-4.0,3,28,2.8231626,0.99943805,0.1
-4.0,3,28,2.798173,0.99766934,0.1
-4.0,3,28,3.2386327,0.98857117,0.1
-4.0,3,29,5.7747965,0.9999931,0.1
-4.0,3,29,3.4199681,0.9940604,0.1
-4.0,3,29,5.417467,0.9895604,0.1
-4.0,3,29,2.5760217,0.9914521,0.1
-4.0,3,29,5.9734845,0.98090273,0.1
-4.0,3,29,2.1271162,0.9999733,0.1
-4.0,3,29,2.9103434,1.0,0.1
-4.0,3,29,3.0582838,0.9999521,0.1
-4.0,4,29,5.276434,0.99999964,0.1
-4.0,4,29,2.505623,0.9918951,0.1
-4.0,4,29,5.402211,1.0,0.1
-4.0,4,29,4.9868374,1.0,0.1
-4.0,4,29,6.2044454,0.9952506,0.1
-4.0,4,29,3.1720781,0.99935246,0.1
-4.0,4,29,2.9046614,0.9971905,0.1
-4.0,4,29,3.3480933,0.9993688,0.1
-4.0,4,29,3.7939377,0.9988607,0.1
-4.0,4,29,5.9875865,0.9948484,0.1
-4.0,4,29,2.9141665,0.9922398,0.1
-4.0,4,29,3.9718337,0.9999251,0.1
-4.0,4,29,5.422082,1.0,0.1
-4.0,3,29,5.4528894,0.9949732,0.1
1.0,4,29,5.238512,1.0,0.1
1.0,4,29,3.8046412,1.0,0.1
1.0,4,29,3.8157108,1.0,0.1
1.0,4,29,3.7157242,1.0,0.1
1.0,4,29,7.9430037,1.0,0.1
1.0,4,29,2.9919178,1.0,0.1
1.0,4,29,5.0903726,1.0,0.1
1.0,4,29,3.1802363,1.0,0.1
1.0,4,29,2.9983752,1.0,0.1
1.0,4,29,3.2813573,1.0,0.1
1.0,4,29,3.451263,1.0,0.1
1.0,4,29,3.8137999,1.0,0.1
1.0,4,29,3.4117384,1.0,0.1
1.0,4,29,3.317608,1.0,0.1
1.0,4,29,3.8681846,1.0,0.1
1.0,4,29,3.4178324,1.0,0.1
1.0,4,29,2.8449783,1.0,0.1
1.0,4,29,2.9037607,1.0,0.1
1.0,4,30,3.2463253,1.0,0.1
-4.0,4,30,6.608346,1.0,0.1
-4.0,4,30,3.3965847,1.0,0.1
-4.0,4,30,3.8172884,1.0,0.1
-4.0,4,30,2.9052052,1.0,0.1
1.0,1,30,5.8322697,1.0,0.1
-4.0,4,30,3.714312,1.0,0.1
-4.0,4,30,5.8538733,1.0,0.1
-4.0,4,30,5.0223765,1.0,0.1
-4.0,4,30,3.2226408,1.0,0.1
-4.0,4,30,3.2523108,1.0,0.1
-4.0,4,30,3.1477447,1.0,0.1
-4.0,4,30,3.6789775,1.0,0.1
-4.0,4,30,9.897314,1.0,0.1
-4.0,4,30,2.9139683,1.0,0.1
-4.0,4,30,6.2996583,1.0,0.1
-4.0,4,30,2.824716,1.0,0.1
-4.0,4,30,4.0984383,1.0,0.1
-4.0,4,30,6.1087303,1.0,0.1
-4.0,4,30,2.22543,1.0,0.1
-4.0,4,30,3.7243712,1.0,0.1
1.0,1,30,3.23952,1.0,0.1
1.0,5,30,3.5075035,1.0,0.1
-4.0,4,30,3.1566286,1.0,0.1
-4.0,4,30,2.929895,1.0,0.1
-4.0,4,30,5.492153,1.0,0.1
-4.0,4,30,3.2516565,1.0,0.1
-4.0,4,30,3.7925076,1.0,0.1
1.0,4,30,3.3521998,1.0,0.1
1.0,4,30,5.2291646,1.0,0.1
1.0,4,30,2.893153,1.0,0.1
1.0,4,30,3.2207055,1.0,0.1
1.0,4,30,3.2874665,1.0,0.1
1.0,4,30,4.590983,1.0,0.1
-4.0,5,30,5.745779,1.0,0.1
-4.0,0,30,3.4342515,1.0,0.1
-4.0,5,30,3.6228247,1.0,0.1
1.0,4,30,3.4396968,1.0,0.1
1.0,4,30,3.6941323,1.0,0.1
1.0,4,30,3.8242695,1.0,0.1
1.0,4,31,3.6059256,1.0,0.1
1.0,4,31,6.3336253,1.0,0.1
-4.0,3,31,2.969012,1.0,0.1
1.0,4,31,3.1293545,1.0,0.1
1.0,4,31,2.8914382,1.0,0.1
1.0,4,31,3.7220461,1.0,0.1
1.0,4,31,2.5469456,1.0,0.1
1.0,4,31,2.6822457,1.0,0.1
1.0,4,31,3.4191854,1.0,0.1
1.0,4,31,3.1632988,1.0,0.1
1.0,4,31,3.5636966,1.0,0.1
1.0,4,31,3.439279,1.0,0.1
1.0,4,31,3.6022313,1.0,0.1
1.0,4,31,4.7499,1.0,0.1
1.0,2,31,3.92554,1.0,0.1
1.0,4,31,3.3236775,1.0,0.1
1.0,4,31,3.5816844,1.0,0.1
1.0,4,31,3.9459105,1.0,0.1
1.0,2,31,4.1774387,1.0,0.1
1.0,4,31,3.1344185,1.0,0.1
1.0,4,31,5.378566,1.0,0.1
1.0,4,31,4.504371,1.0,0.1
